"('dự', 'án')",150
"('đầu', 'tư')",102
"('địa', 'phương')",76
"('công', 'an')",73
"('việt', 'nam')",72
"('thực', 'hiện')",63
"('người', 'dân')",52
"('chủ', 'tịch')",50
"('quy', 'định')",48
"('công', 'tác')",45
"('sử', 'dụng')",45
"('cho', 'biết')",44
"('công', 'trình')",44
"('cơ', 'quan')",44
"('xây', 'dựng')",43
"('xã', 'hội')",43
"('tổ', 'chức')",43
"('lao', 'động')",43
"('đối', 'với')",41
"('tỉ', 'đồng')",41
"('bệnh', 'viện')",41
"('thời', 'gian')",41
"('quản', 'lý')",40
"('hợp', 'tác')",40
"('vi', 'phạm')",39
"('thông', 'tin')",36
"('thành', 'phố')",35
"('triệu', 'đồng')",35
"('ubnd', 'tỉnh')",34
"('đề', 'nghị')",34
"('kiểm', 'tra')",32
"('công', 'ty')",32
"('doanh', 'nghiệp')",31
"('một', 'số')",31
"('sau', 'khi')",31
"('quyết', 'định')",31
"('quốc', 'hội')",31
"('phát', 'triển')",30
"('hỗ', 'trợ')",29
"('lãnh', 'đạo')",28
"('ủy', 'ban')",28
"('giám', 'đốc')",28
"('các', 'địa')",28
"('đề', 'xuất')",28
"('giao', 'thông')",27
"('y', 'tế')",27
"('chính', 'phủ')",26
"('tuy', 'nhiên')",26
"('cá', 'nhân')",26
"('du', 'lịch')",25
